uid,nama,deskripsi,rating_avg,rating_total,price_level,price_label,status,status_label,kategori,address,area_type,kecamatan,kodepos,latitude,longitude,shortLink,createTime
bd0a137e-ef9d-455d-b8a9-00f50e602667,"Keikpop by The Food Chain, Grand Wisata",,4.3,0.0,3,Mahal,1,Aktif,"Sweets, Roti","Celebration Boulevard, Grand Wisata Residence, Dukuh Bima, Lambangsari, Kabupaten Bekasi, Jawa Barat, Jawa, 17510, Indonesia",Kabupaten Bekasi,Lambangsari,17510,-6.281504539188249,107.04649365936152,https://gofood.link/a/ADsnrEu,2021-04-16T16:19:24.493Z
4b8f46fd-e264-4e43-b058-574b9d1074ab,"Esteh Indonesia, Jababeka Cikarang",,4.8,0.0,2,Menengah,1,Aktif,Minuman,"Jalan Kedasih Raya, Jababeka, Pasirsari, Kabupaten Bekasi, Jawa Barat, Jawa, 17530, Indonesia",Kabupaten Bekasi,Pasirsari,17530,-6.300166,107.16198,https://gofood.link/a/AQtsoom,2021-05-07T14:33:35.790Z
b133b3c5-8832-4750-9c00-b2180e905307,"Solaria, Kota Harapan Indah Bekasi",,4.8,0.0,3,Mahal,1,Aktif,Aneka nasi,"Jalan Harapan Indah Bulevar, Kota Harapan Indah, Medansatria, Kota Bekasi, Jawa Barat, Jawa, 17132, Indonesia",Kota Bekasi,Medansatria,17132,-6.19001,106.976,https://gofood.link/a/AQuh7yq,2021-05-07T15:12:23.895Z
bf377553-c2bd-43db-95d6-102caaa7fe37,"HokBen Kitchen, Perumnas 3 Bekasi",,4.7,0.0,3,Mahal,1,Aktif,"Cepat saji, Jepang","Aren Jaya, Kota Bekasi, Jawa Barat, Jawa, 17111, Indonesia",Kota Bekasi,,17111,-6.24465,107.039402,https://gofood.link/a/AZrngk3,2021-05-24T15:08:30.537Z
30c14ce1-11e4-4914-8204-2457a09b2f52,"HokBen, Kitchen Rawalumbu",,4.8,0.0,3,Mahal,1,Aktif,"Jepang, Cepat saji, Ayam & bebek","Jalan Pramuka, Jembatan Nol, Rawalumbu, Sepanjangjaya, Kota Bekasi, Jawa Barat, Jawa, 17175, Indonesia",Kota Bekasi,Sepanjangjaya,17175,-6.2694600000000005,107.003008,https://gofood.link/a/AmZG7eW,2021-03-16T10:04:21.533Z
b6b69a14-78ee-4831-a753-8dd0b3ed29ff,"Hokben, Ruko Jatibening",,4.8,0.0,3,Mahal,1,Aktif,"Jepang, Ayam & bebek, Cepat saji","Jalan Raya Jatibening, Perum Dosen IKIP, Jatibening, Kota Bekasi, Jawa Barat, Jawa, 17412, Indonesia",Kota Bekasi,Jatibening,17412,-6.266859,106.943498,https://gofood.link/a/AmZwpxJ,2021-03-16T09:56:28.301Z
0eff03d4-ae15-4ff3-a405-0a35be620d09,"Kopi Janji Jiwa & Jiwa Toast, Vasanta Innopark",,4.8,0.0,2,Menengah,1,Aktif,"Kopi, Minuman, Roti, Jajanan","Jalan Kalimantan, MM2100 Industrial Town, Gandamekar, Kabupaten Bekasi, Jawa Barat, Jawa, 17520, Indonesia",Kabupaten Bekasi,Gandamekar,17520,-6.290855,107.085797,https://gofood.link/a/AutW5no,2021-03-30T15:19:42.643Z
f66b0c95-fa6c-46d2-9234-95632dfd907e,"Burger Bangor Express, Jatiasih",,4.8,0.0,3,Mahal,1,Aktif,"Barat, Cepat saji, Ayam & bebek","Jalan Wibawa Mukti II, Komplek Pemda Jatiasih, Jatimekar, Kota Bekasi, Jawa Barat, Jawa, 17423, Indonesia",Kota Bekasi,Jatimekar,17423,-6.294375,106.959881,https://gofood.link/a/Az66wZw,2021-04-08T09:17:00.159Z
73fe9e2e-8438-441f-b3b0-6cff1769fccc,"HokBen, Ruko Tambun City",,4.7,0.0,3,Mahal,1,Aktif,"Cepat saji, Jepang, Jajanan","Ruko Tambun City, Jalan Hasanuddin, Kompas, Tambun, Kabupaten Bekasi, Jawa Barat, Jawa, 17520, Indonesia",Kabupaten Bekasi,Tambun,17520,-6.264525,107.071307,https://gofood.link/a/B41uXP3,2021-05-31T09:55:14.680Z
1f46e9d7-7e92-4ee0-8817-c8bd9865f017,"HokBen, Kitchen Bintara",,4.8,0.0,3,Mahal,1,Aktif,"Jepang, Cepat saji, Ayam & bebek","McDonald's, 17, Jalan Bintara Raya, Kranji, Bintara, Kota Bekasi, Jawa Barat, Jawa, 17134, Indonesia",Kota Bekasi,Bintara,17134,-6.233203,106.965987,https://gofood.link/a/B6jhrSy,2021-06-04T19:03:26.784Z
654aaedf-1b1e-419b-a9f3-6756d4ae1a91,"Nasi Goreng Gila Dua Saudara, Anggrek Raya",,4.5,0.0,2,Menengah,1,Aktif,"Aneka nasi, Cepat saji, Seafood","Jalan Anggrek Raya, Kranji, Kota Bekasi, Jawa Barat, Jawa, 17136, Indonesia",Kota Bekasi,Kranji,17136,-6.237208514823878,106.9783317670226,https://gofood.link/a/BCfPx31,2021-08-02T13:19:31.709Z
23b2b766-5e4b-4f95-ae0b-10c53bfb2630,KEBULI JORDAN BEKASI,,4.8,0.0,3,Mahal,1,Aktif,"Aneka nasi, Cepat saji, Timur Tengah","Jalan Raya Pondok Cipta, Kranji, Bintara, Kota Bekasi, Jawa Barat, Jawa, 17134, Indonesia",Kota Bekasi,Bintara,17134,-6.231340218558214,106.95987515151502,https://gofood.link/a/BM8zDNQ,2021-08-19T09:51:33.324Z
c91d0522-428b-4c39-aa26-2e17f0c088eb,"JCO, Jati Asih Stand Alone",,4.6,0.0,3,Mahal,1,Aktif,Sweets,"Jalan Wibawa Mukti II, Villa Jatirasa, Pamahan, Jatimekar, Kota Bekasi, Jawa Barat, Jawa, 17423, Indonesia",Kota Bekasi,Jatimekar,17423,-6.296554526081978,106.95886276939724,https://gofood.link/a/BU4SwSm,2021-09-01T14:00:24.602Z
c7290d51-aada-4cbb-beda-8506b4a64e60,"JCO, Plaza Metropolitan Tambun",,4.6,0.0,3,Mahal,1,Aktif,Sweets,"KFC, Jalan Hasanuddin, Kompas, Tambun, Kabupaten Bekasi, Jawa Barat, Jawa, 17520, Indonesia",Kabupaten Bekasi,Tambun,17520,-6.265504170999367,107.07285145034564,https://gofood.link/a/BU4zdqq,2021-09-01T13:46:19.882Z
28268e0d-8db3-40aa-92fd-e4ff3c0a82c0,"JCO, Ruko Graha Boulevard Summarecon Bekasi",,4.5,0.0,3,Mahal,1,Aktif,Sweets,"J.CO Donuts & Coffee - Ruko Graha Bulevar Summarecon Bekasi, Jalan Bulevar Ahmad Yani, Summarecon Bekasi, Harapan Mulya, Kota Bekasi, Jawa Barat, Jawa, 17143, Indonesia",Kota Bekasi,Harapan Mulya,17143,-6.226502712327375,106.99579508299212,https://gofood.link/a/BU7Lsr7,2021-09-01T16:16:55.549Z
9e8be745-2e2d-4d3b-98ac-825de0b29679,NASI PADANG AMBUN PAGI TELUK PUCUNG,,4.8,0.0,2,Menengah,1,Aktif,Cepat saji,"Telukpucung, Kota Bekasi, Jawa Barat, Jawa, 17121, Indonesia",Kota Bekasi,,17121,-6.204116625750546,107.02995155006649,https://gofood.link/a/BVvMyxN,2021-09-04T07:57:08.532Z
c64b7b82-9e66-4be4-a8b0-c439f52ff4c3,"HokBen Kitchen, Cifest",,4.7,0.0,3,Mahal,1,Aktif,Jepang,"Jalan Cifest Raya, Ciantra, Kabupaten Bekasi, Jawa Barat, Jawa, 17550, Indonesia",Kabupaten Bekasi,Ciantra,17550,-6.342339,107.118802,https://gofood.link/a/BakDMkw,2021-06-12T10:27:13.395Z
