nama,kategori,kecamatan,price_label,rating_avg,deskripsi,shortLink,is_kuesioner,photo_url,photo_source
"Laksa Nyonya Nyonya, Pasar sinpansa","Aneka nasi, Cepat saji, Bakso & soto",Bekasi Utara,25rb - 50rb,3.5,,https://gofood.link/a/yM9SM75,0,,
"Mie Kangkung Betawi, Soto Betawi Ariyani, Sinpasa","Bakmie, Cepat saji, Bakso & soto",Bekasi Utara,50rb - 100rb,4.7,,https://gofood.link/u/zyy14,0,,
"Domino's Pizza, Summarecon Bekasi","Pizza & pasta, Cepat saji, Jajanan",Bekasi Utara,50rb - 100rb,4.7,,https://gofood.link/u/8w3V,0,,
"Bandar Djakarta, La Terrazza Summarecon Bekasi",Seafood,Bekasi Utara,>100rb,4.6,,https://gofood.link/u/wOdD,0,,
"Rm Parasmanan, Bekasi Selatan","Minuman, Ayam & bebek, Aneka nasi",Bekasi Selatan,25rb - 50rb,4.6,,https://gofood.link/a/yMa4WUG,0,,
"Bakmi GM, Ruko Summarecon Bekasi","Bakmie, Aneka nasi, Chinese",Bekasi Utara,50rb - 100rb,4.8,,https://gofood.link/a/yM9dg4S,0,https://api.jajanbekasi.web.id/foto/40_Bakmi_GM_Ruko_Summarecon_Bekasi.jpg,cached_disk
"Abuba Steak, Bekasi",Barat,Bekasi Utara,>100rb,4.8,"ABUBA steak pelopor restoran steak dengan harga terjangkau di Jakarta. Rasakan Sensasi Kelezatan Steak dan Sausnya! Tersebar outletnya di Jakarta dan Bandung. Menu favorit Wagyu Steak, Sirloin, Tenderloin, T-bone, Salmon. Beragam appetizer dan side dish nikmat siap melengkapi steak kamu. Yummm... ABUBA steak, It's My Steak.",https://gofood.link/u/K3eRb,0,https://api.jajanbekasi.web.id/foto/42_Abuba_Steak_Bekasi.jpg,cached_disk
"Mujigae, Summarecon Mall Bekasi","Cepat saji, Aneka nasi, Korea, Jajanan, Ayam & bebek",Bekasi Utara,50rb - 100rb,4.7,,https://gofood.link/u/Q53aW,0,,
"Warkop 1899, Berkah H. Agus Salim","Jajanan, Sweets",Bekasi Timur,25rb - 50rb,4.5,,https://gofood.link/u/D0Qa,0,,
"Baskin Robbins, Sentra Summarecon Mall Bekasi",Sweets,Bekasi Utara,>100rb,4.8,,https://gofood.link/a/yM9cAKw,0,https://api.jajanbekasi.web.id/foto/39_Baskin_Robbins_Sentra_Summarecon_Mall_Bekasi.jpg,cached_disk
